APFS Number,Description,Contract Status,Component
F2019045646,"USCGC SANGAMON (WLR 65506) and BARGE (65506 B) FY20 DS Maintenance AvailabilityThe US Coast Guard Cutter (CGC) SANGAMON (WLR 65506) and BARGE (65506 B) are a 65' River Class Buoy Tender Cutter and 99' barge; both are home-ported in Peoria, Illinois (IL). Work list will include, but is not limited to: hydraulic / electric deck machinery overhaul, tank cleaning and inspection, ventilation cleaning, exhaust piping cleaning, and painting various surfaces (both interior and exterior).",NEW,USCG/SFLC
F2019045668,"A broad range of alteration, repair, and minor construction work on real property at all the FLETC campus located in Charleston, SC",REC,FLETC/CHS
F2019045669,"Provide Item Management Specialist (IMS) and Equipment Specialist (ES) services in support for Command, Control, and Communications Center (C3CEN) Product lines (PL) and Core Technologies (CT).",REC,USCG/C4IT
F2019045692,"US Coast Guard Station Marathon, FL, Hurricane RebuildRebuild Family Housing unit at Grassy Key, FL, construct a new Family Housing unit at Grassy Key and new Unaccompanied Personnel Housing (UPH) at USCG STA Marathon, FL. Work includes, but is not limited to demolition/disposal of existing Family Housing unit, site preparation, construction of a new 2,568 GSF Family Housing unit and a new 11,139 GSF multistory UPH with associated utilities.",NEW,USCG/SILC-Const.
F2019045694,"Base year plus 4 option years service contract for snow removal on the Coast Guard Academy, New London, CT.   ",REC,USCG/SILC-Base
F2019045700,"Contractor shall provide all labor, equipment, containers, transportation and supervision to provide refuse and recycling collection and disposal service at the Coast Guard Academy. Base year plus 4 option years service contract. Base year is 01 October 2020 through 30 September 2021.",REC,USCG/SILC-Base
F2019045706,"The task requires various positions to support the airworthiness and sustainment of USCG Government aircraft and equipment.The Contractor shall develop and provide solutions to mitigate and prevent processes that negatively affect the aircraft life cycle. The Contractor shall perform, implement, and support engineering and scientific activities such as root cause failure analysis, sample preparation for analysis, testing, training, data analysis, vibration analysis, re-engineering, engineering analysis for aircraft structure, components, systems, configuration management, reliability centered maintenance support and wiring integrity.",REC,USCG/ALC
F2019045712,"Rebuild Station Tybee multi-mission building and support building to modem resiliency standards, reducing the risk of damage in future storms and disasters. The work includes, but is not limited to: demolition of existing facilities, site and ground work, construction of new facilities, and all associated utilities. ",NEW,USCG/SILC-Const.
F2019045714,"Rebuild waterfront and shore facilities at Marine Safety Detachment St. Thomas. The work includes, but is not limited to: demolition of existing facilities; site and ground work; construction of new buildings and waterfront facilities; and all associated utilities.",NEW,USCG/SILC-Const.
F2019045715,"Rebuild Station Port Canaveral multi-mission building, boat maintenance facility, and cutter support buildings to modern resiliency standards, reducing the risk of damage in future storms and disasters. The work includes, but is not limited to: power and network conduits, roofing, siding, building doors, demolition of existing facilities, site and ground work, new construction of facilities, and all associated utilities. ",NEW,USCG/SILC-Const.
F2019045717,"Rebuild Resident Inspection Office Ponce, Puerto Rico, facilities to modern resiliency standards, reducing the risk of damage in future storms and disasters. The work includes, but is not limited to: demolition of existing facilities, site and ground work, construction of a new administration building, and all associated utilities.",NEW,USCG/SILC-Const.
F2019045718,"Rebuild paint and sandblast facility located at Base Miami Beach to modern resiliency standards, reducing the risk of damage in future storms and disasters. The work includes, but is not limited to: damaged docks, street lights, air conditioning units, roofs and skylights, access bridge electrical conduit, buoy yard gate, travel lift pier, garage doors, exterior and interior components for multiple buildings, demolition of the existing facility, site and ground work, construction of new facility, and all associated utilities. ",NEW,USCG/SILC-Const.
F2019045719,"Rebuild waterfront, shore facilities, and utilities at Station Fort Myers to modem resiliency standards, reducing the risk of damage in future storms and disasters. The work includes, but is not limited to: demolition of existing facilities, site and ground work, construction of new station building, concrete pier, docks, boathouse, and all associated utilities. ",NEW,USCG/SILC-Const.
F2019045721,"Provided graphic communication and design services for the United States Coast Guard (USCG), Command, Control and Communications Center (C3CEN0, Command Logistics Division (CLD0 supporting the product Lines and Core Technologies (CT).",REC,USCG/C4IT
F2019045727,"The purpose of this task order is to provide database and website management support, database modifications, and technical expertise in the area of boat naval architecture and marine engineering for the coast Guard's Fleet Management Information System (FMIS). Exception to Fair Opportunity will be posted on www.beta.sam.gov. This action aligns the contract with the ATO expiration. A competitive acquisition will be released in FY21, with award anticipated in FY22 with sufficient time to allow a new ATO application/issuance prior to expiration of the current ATO near the end of FY22. ",REC,USCG/CG-912
F2019045733,"Replace existing 7.4 miles of 6” diameter asbestos cement potable water piping between City of Petaluma water system and TRACEN Petaluma with modern 8” diameter piping. The project also includes replacement of the King Rd. pump station, water treatment equipment, and correction of TRACEN water storage issues.",NEW,USCG/SILC-Const.
F2019045808,"The purpose of this acquisition is to procure services that provide the Federal Emergency Management Agency (FEMA) and Federal Insurance and Mitigation Administration (FIMA) enhanced capability and capacity in meeting pre-disaster, disaster, and post-disaster mitigation and environmental responsibilities.  The Contractor shall provide non-architect & engineering (non-A&E) technical assistance, including but not limited to, program application review/feasibility, research, analysis, and document development services in support of FEMA’s pre-disaster, disaster, and post-disaster mitigation and environmental compliance requirements.  It is anticipated that this will result in the award of three single award IDIQ contracts.  Each contract will be for a specific geographic zone.  The three zones will provide covered for the entire United States and its territories.  Work for FEMA/HQ will be separated by function.   Each of the three zones will cover a portion of the HQ related HMTAP work.  Contractors may propose for all zones but will be limited to the award only one of the three zones. ",REC,FEMA
F2019045809,"Program management and technical support services to CWMD Policy, Plans, and Analysis DirectorateThe purpose of this effort is to provide programmatic, systems engineering, information analysis, policy and planning development, reporting, outreach, and scientific support services to the Countering Weapons of Mass Destruction (CWMD) Office Policy, Plans, and Analysis directorate in order to enhance the nation’s abilities to prevent terrorists and other threat actors from using weapons of mass destruction and support operational partners in closing capability gaps along adversary pathways. Planned Strategic Source Vehicle: OASIS POOL 1, Unrestricted with small business subcontracting goals. Draft RFP to be released on or about 9/17/2019.  There will be no industry day.Estimated milestones are provided for planning purposes and may be subject to change. 9/17/19 -Estimated release of draft RFP11/22/19-Estimated release of official RFP12/20/19- Estimated proposal due date 3/17/20-Estimated task order award.    ",REC,DHS HQ/CWMD
F2019045814,Provides Planned Maintenance development support services for C3CEN's Product Lines and Core Technologies.,REC,USCG/C4IT
F2019045834,CGC DORADO FY20 DRY DOCK,NEW,USCG/SFLC
F2019045852,"This will be a ship repair contract for CGC SEA LION FY20 DS (cutter's homeport location Bellingham, WA) maintenance availability designed to complete all standard recurring maintenance items.",NEW,USCG/SFLC
F2019045858,"This will be a ship repair contract for USCGC KITTIWAKE (WPB-87316) FY20 Dry Dock Availability in Honolulu, HI maintenance availability designed to complete all standard recurring maintenance items.",NEW,USCG/SFLC
F2019045861,"This will be a ship repair contract for TYBEE Dry dock FY20, Woods Hole, MA maintenance availability designed to complete all standard recurring maintenance items.",NEW,USCG/SFLC
F2019045862,"This will be a ship repair contract for KEY LARGO FY20 Drydock, Gloucester, MA maintenance availability designed to complete all standard recurring maintenance items",NEW,USCG/SFLC
F2019045880,This requirement is for Residential Training Services for USCIS Basic Immigration courses. We anticipate the location to be within 50 miles of USCIS Headquarters. The facility must be capable of housing up to 96 employees as well as the space to conduct 4 classes of 24 students in each class. The intent is to award a one-year BPA off federal supply schedule.,NEW,USCIS
F2019045889,"Program management, administrative and technical support services to CWMD Systems Support Directorate, and Front Office Group. The scope of this support encompasses a full range of program management and technical support services to CWMD Systems Support Directorate. The Contractor shall furnish the necessary personnel to provide support for the following areas:Acquisition and DeploymentThis area involves CRBN acquisition activities required to obtain, test and field systems identified by the Acquisition Directorate as necessary to fill material and non-material gaps in sensor and detection architecture for DHS components.Test and Evaluation (T&E) CWMD’s research, development, and acquisition process is anchored by rigorous assessments of mission-related technologies as they are developed and deployed.  Through the T&E JPA, these technologies are supported by test and evaluation (T&E) campaigns to characterize, verify, and validate technical performance and assess the operational effectiveness and suitability of technologies under development, as well as that of commercially available systems prior to deployment.  Rigorous and scientifically defensible testing requires a team of trained and experienced subject matter experts, including nuclear physicists, statisticians, analysts, and testers.  CWMD utilizes test instrumentation and automated data collection systems to enable its test teams to rapidly verify and validate data, thus ensuring that analysts have quality data sets.  Note: There should be a firewall between the support that T&E receives and the support that is received by ACQ, RDE, and RCO to maintain T&E’s independence.Research and DevelopmentCWMD conducts, supports, and coordinates an aggressive research and development (R&D) program to address significant architectural and technical challenges unresolved by current capability on the near horizon. This includes the development of break-through technologies that will have a clear and demonstrable positive impact on the ability to detect WMD threats as well as enhance the forensic examination of pre-detonation materials. These programs partner with industry, national laboratories and academia to improve performance while reducing costs and operational burdens of detectors and sensor systems and strengthen the nuclear forensics capability in technology advancement and expertise development.  Front Office SupportActivities include but are not limited to, supporting the day-to-day management and execution of the functions of the CWMD front office, ensuring execution complies with DHS/CWMD policies and in support of the Assistant Secretary’s strategic vision, adequate coordination of CWMD issues and matters, and timely completion and execution of assigned tasks.Planned Vehicle: Small Business set aside under GSA FSS PSSDraft RFP to be released on or about 9/17/2019.  There will be no industry day.Estimated milestones are provided for planning purposes and may be subject to change. 9/17/19 -Estimated release of draft RFP11/22/19-Estimated release of official RFP12/20/19- Estimated proposal due date 3/17/20-Estimated task order award. ",REC,DHS HQ/CWMD
F2019045893,"This will be a ship repair contract for CGC BENJAMIN BOTTOMS FY20 DS1, San Pedro, CA maintenance availability designed to complete all standard recurring maintenance items. ",NEW,USCG/SFLC
F2019045903,"FEMA is seeking a transactional solution for address correction and other address related services including geocoding, flood mapping and parcel data.  The service acquired will integrate with FEMA’s Java Address Correction Service (JACS).  FEMA has a requirement for four (4) services:•	Address correction to the parcel level including geocoding;•	Flood mapping determinations based on corrected addresses;•	Parcel attribute data based on corrected address parcel numbers and;•	“Reverse lookup” of addresses based on geospatial information. Quality of data is of high importance to FEMA, as is the frequency with which it is updated.  FEMA seeks information that:•	Discusses data sources and how data is maintained;•	Provides a data sampling in the format and test interface;•	Identifies the sourcing of the seeded database by providing the states, county and zip codes completing their repository (library) of data available to FEMA.  Data from CONUS and OCONUS (includes: American Samoa, Guam, Marianas, Puerto Rico, U.S. Virgin Islands) areas of the United States is required.In addition to the production service, FEMA requires access to a testing service during implementation and for continued testing through updates to FEMA’s systems.",REC,FEMA
F2019045906,"USCIS External Affairs (EXA) formerly known as Customer Service Public Engagement Directorate (CSPED) requires services to support calls and chats using a customer engagement center model that employs a mix of web and voice channels for customers to obtain assistance on citizenship and immigration related information. This request is for the contractor to operate, furnish the Customer Engagement Center, and provide sufficient operational staff to support the CEC interactions and collaborate with the USCIS and other supporting Contractors involved in improving CEC operations.  Ultimately, the goal of this effort is to support the phone, chat, and e-services channels of a multi-channel Customer Engagement Center that is fully integrated with Genesys, Salesforce/STARS, Verint (NICE/InContact), Aria CIMplicity. The approximate value of calls is 600k on a monthly basis. The intent is to pursue an award using GSA's  IT-70, ACCS track for a 12-month base period and four 12-month option periods.",REC,USCIS
F2019045912,"This requirement includes unplanned and planned maintenance, inspection and ship repair services of the MPDEs in accordance with the manufacturer's published maintenance schedule to include alignment checks and coolant flushing. Connecting rod bearing, geisler coupling jacket and raw water pump and Crankshaft renewal. Work will be performed for up to 11 cutters; currently home ported at Alameda, CA; Charleston, SC; and Honolulu, HI.   Based on recent market research information, MTU America Inc. owns the data rights to the MPDE specifications, and the sole owner of various special tools used to service the engine.  The WMSL cutter fleet runs on MTU MDPEs.  This contract requirement will be sole sourced to MTU America, Inc.",NEW,USCG/SFLC
F2019045921,"In support of FEMA’s IS Program, the Contractor shall provide all necessary support to meet the tasking and deliverables defined in Section 2.0, including:•	The Contractor shall provide the necessary educational/training/management support to effectively and efficiently manage and administer FEMA's IS Program (to include EMI and other FEMA programs).•	The Contractor shall review new and revised course material to ensure that it meets the standards required for college credit. The Contractor shall coordinate and maintain records for the approval of course materials for college credit through a Regionally Accredited college or university.•	The Contractor shall award college credit through a Regionally Accredited college or university for those successfully completed independent study courses as approved by the designated Regionally Accredited college or university and as requested by the individual student at the student’s expense. •	The Contractor shall communicate with representatives from States (State Training Officers), local government, higher education programs, other Federal programs, related associations and organizations, and private citizens requesting access to training materials or other information on the IS program and courses.  •	The Contractor shall communicate with students on all student services, such as applications, tests, student records, certificates and transcripts, college credits, continuing education units, and access to training materials. There are currently approximately 217 accredited courses available through the current contract.  These courses result in a combined average annual number of course completions of approximately two million.  An additional 50 courses are projected to be added to the program annually and will require review for accreditation.  It is also projected that approximately 50 existing courses will be revised annually and will require review for accreditation.New independent study courses are developed under separate contract(s) and/or by government employees.  These courses are submitted to the independent study program contractor for enrollment and student record keeping; as well as for review and accreditation as described above.  This contract does not include development of any independent study courses.",REC,FEMA
F2019045930,"This will be a ship repair contract for CGC ISAAC MAYO (WPC-1112) FY20 DS1 WTCA  08/12/2020- 09/26/2020, in Key West, FL. maintenance availability designed to complete all standard recurring maintenance items.",NEW,USCG/SFLC
F2019045941,"The US Coast Guard intends to procure replacement HVAC Chiller Systems for the 225' WLB class buoy tenders to include (6) Cutter systems, spare systems, and spare parts.",REC,USCG/SFLC
F2019045951,"This will be a ship repair contract for CGC WILLIAM TRUMP (WPC-1111) FY20 WTCA DS1 04/22/2020-06/06/2020, in Key West, FL.  Maintenance availability designed to complete all standard recurring maintenance items. ",NEW,USCG/SFLC
F2019045957,"Information Technology Support services for the US Coast Guard (USCG) Command, Control and Communications Engineering Center (C3CEN), located in Portsmouth, VA. The Contractor shall provide Information Technology support services include those efforts to provide hardware and software system maintenance. Workstation support, Internet connectivity, coordination of user CGOne profile creation, deletion, and transfer, tracking software licenses, and load/storage monitoring. Maintanace and management of computer and electronic-based classroom equipment that compose the C3CEN schoolhouse, and exportable classrooms used at various off-site locations. Anticipate requirement of two (2) on-site employees. No clearance required.",REC,USCG/C4IT
F2019045961,"Under Title 33 USC &1221, the United States Coast Guard has a statutory responsibility to implement U.S. ports and waterways Safety Program. The purpose of this contract is to obtain performance based organizational maintenance (O-Level) support. This requires day-to-day maintenance of VTS Systems. O-level maintenance also includes minor adjustments that may require shop facilities as well as the removal and installation of components, technical, managerial, materials, and facility support to meet and maintain Coast Guard system availability (Ao) of 99.75%. The Contractor shall also provide continuous (24/7) Casualty support to all VTS systems as outlined in the PWS. This will be a base and 4 options.",REC,USCG/C4IT
F2019045987,MULTI-SITE ENVIRONMENTAL PROJECTS EXECUTION- USACE,NEW,USCG/SILC-Const.
F2019046000,"Coast Guard Cutter (CGC) DOUGLAS MUNRO Dock Side (DS) Fiscal Quarter 3 (FQ3) Fiscal Year 2020 (FY20): Contractor will be required to perform dock side ship repair including welding, electrical, tank cleaning, ventilation cleaning/repair, steel work, equipment overhaul/repair, insulation renewal, deck preservation, and others in accordance with the Specifications (will be attached with the solicitation). Place of performance is the ship’s homeport located at Kodiak, AK. Performance Period is from 09 June 2020 to 17 July 2020.",NEW,USCG/SFLC
F2019046017,The US Coast Guard intends to procure replacement reverse osmosis water makers for the 225' WLB Class Buoy Tenders (6 total).,REC,USCG/SFLC
F2019046021,"This requirement is for engineering sustainment and systemadministration services to support the Unclassified Common Operating Picture(UCOP) for USCG Command, Control, and Communications Engineering Center(C3CEN).",REC,USCG/C4IT
F2019046031,"This will be a ship repair contract for CGC BLACKTIP, FY20 DD, Oxnard, CA maintenance availability designed to complete all standard recurring maintenance items.",NEW,USCG/SFLC
F2019046084,"The US Coast Guard intends to procure a new gyrocompass system for the 225' WLB Class Buoy Tenders.  The system will consist of a mastercompass unit, a display assembly, electronics control unit, and interconnecting cable assemblies.  The unit shall interface with the ship's dynamic positioning system in order to conduct precision navigational buoy placement.",REC,USCG/SFLC
F2019046094,The US Coast Guard intends to procure a new refrigeration system for the 225' WLB Class Buoy Tenders.  The replacement system will perform in continuous and intermittent operation to maintain the fixed chillbox at +35 degrees F and the fixed freeze box at 0 degrees F simultaneously.,REC,USCG/SFLC
F2019046098,The US Coast Guard intends to procure a new Fire & Smoke Alarm System for the 225' WLB Class Buoy Tenders.  The system will be addressable and interface with the existing Cutter Main Propulsion Control System (MPCMS).,REC,USCG/SFLC
F2019046123,"This will be a ship repair contract for CGC DOLPHIN, FY20, Dockside 2, cutter's homeport, Portsmouth, VA, maintenance availability designed to complete all standard recurring maintenance items. ",NEW,USCG/SFLC
F2019046138,"**Update 01/24/2020 - Estimated solicitation date has been updated.**The EIOSS task order will support the entirety of USCIS IT Enterprise Operations needs. The government has the requirement for Operations Support to include hosting, unified communications, technical communications, and program management services.  ",REC,USCIS
F2019046140,"This will be a ship repair contract for CGC MANTA, FY20, Dockside 2, cutter's homeport, Corpus Christi, TX, maintenance availability designed to complete all standard recurring maintenance items. ",NEW,USCG/SFLC
F2019046141,"This will be a ship repair contract for CGC SHEARWATER, FY20, Dockside 2, cutter's homeport, Cape May, NJ, maintenance availability designed to complete all standard recurring maintenance items. ",NEW,USCG/SFLC
F2019046177,"The Transportation Security Administration (TSA) is currently headquartered in Arlington, VA and occupies several facilities in the National Capital Region (NCR) to coordinate the agency’s operations across the United States. TSA is working in partnership with the General Services Administration (GSA) to acquire a new leased space of up to 625,000 rentable square feet (RSF) in Springfield, VA to consolidate its NCR holdings and thereby reduce its physical footprint. The new TSA Headquarters facility is scheduled to begin occupancy in August 2020 and is designed to house 3,000 personnel including the TSA Administrator and his/her executive staff. TSA requires a Contractor to manage a conference center that will be established at TSA’s new headquarters (HQ) location.The Contractor shall provide conference center management services to assist in event scheduling, coordination of event activities, and support the TSA mission as it pertains to usage of conference center services at the new HQ location. It is anticipated that this requirement will be set aside under the AbilityOne Program.",NEW,TSA
F2019046194,"Department of Homeland Security (DHS)/NPPD/Federal Protective Service (FPS), for Region 7 has indicated a need for a continuous PSO services throughout the Fort Worth/Austin, Texas area. In order to maintain continuity of operations and to ensure that FPS meets its mission requirements in conjunction with the unified national effort in preventing and deterring terrorist attack, safeguarding federal employees and federal property as well as citizens at these locations, a one-year base plus three-year follow-on with an optional six-month extension contract is needed for PSO services throughout the Fort Worth/Austin, Texas area.",REC,DHS HQ/MGMT
F2019046220,This requirement will be a ship repair contract for USCGC STEADFAST Fiscal Year 20 Dockside (DS) maintenance availability designed to complete all standard recurring maintenance items. Work will be accomplished at cutter's homeport facility unless otherwise specified within the solicitation. ,NEW,USCG/SFLC
F2019046239,This requirement will be a ship repair contract for USCGC CAMPBELL Fiscal Year 20 Dockside (DS) maintenance availability designed complete all standard recurring maintenance items. Work will be accomplished at cutter's homeport facility unless otherwise specified within the solicitation. ,NEW,USCG/SFLC
F2019046246,"The Transportation Security Administration (TSA) is currently headquartered in Arlington, VA and occupies several facilities in the National Capital Region (NCR) to coordinate the agency’s operations across the United States. TSA is working in partnership with the General Services Administration (GSA) to acquire a new leased space of up to 625,000 rentable square feet (RSF) in Springfield, VA to consolidate its NCR holdings and thereby reduce its physical footprint. The new TSA Headquarters facility is scheduled to begin occupancy in August 2020 and is designed to house approximately 3,000 for TSA personnel, including the TSA Administrator and his/her executive staff. TSA requires a Contractor to maintain an office supply store for the purpose of centralizing the procurement, management, and distribution of office supplies at TSA Headquarters.The Contractor shall manage an office supply store at TSA’s new Headquarters in order to provide authorized buyers a simplified method for purchasing a wide variety of office supplies. ",NEW,TSA
F2019046273,This requirement will be a ship repair contract for USCGC SENECA Fiscal Year 20 Dockside (DS) maintenance availability designed to complete all standard recurring maintenance items. Work will be accomplished at cutter's homeport facility unless otherwise specified within the solicitation. ,NEW,USCG/SFLC
F2019046274,This requirement will be a ship repair contract for USCGC VIGILANT Fiscal Year 20 Dockside (DS) maintenance availability designed to complete all standard recurring maintenance items. Work will be accomplished at cutter's homeport facility unless otherwise specified within the solicitation. ,NEW,USCG/SFLC
F2019046291,"Support services include development and review of applicable technical and logistics specifications, develop and update (to account for engineering or support strategy changes) logistics products, and review and assess shipbuilder provided logistics deliverables for contractual compliance.Primary areas of support include, but are not limited to the following support areas:•	Maintenance and Support Planning•	Technical Data Review•	Supply Support•	Facilities•	Computer Resources•	Training and Training Support•	Packaging Handling Storage and Transportation•	Design Interface•	Configuration Management•	Procurement Contracting SupportRequired services include acquisition and program support services, as well as technical, administrative and management capabilities which may be required.  Program support requirements are generic and may apply to various Coast Guard projects.This requirement does not involve the purchase of IT products, equipment, services or commercial-off-the-shelf (COTS) software.",NEW,USCG/CG-912
F2019046298,"In order to maintain long haul high frequency (HF) communications aboard certain classes of cutters and shore side communications facilities, the United States Coast Guard’s Command, Control and Communications Engineering Center (C3CEN) has a requirement to replace three HF radio transceiver systems that are at end of life: the Thales TMR-90, Sunair RT-9000B, and the Rockwell Collins RT-2200 systems. C3CEN also has a requirement to replace the Harris R-2368 HF receiver system that too is at end of life. The age of the systems, lack of availability of spare parts and inability repair key subcomponents makes continuing support and maintaining operational availabilities infeasible. This replacement effort requires a commercially available HF radio system comprised of various numbers of HF transceivers, receivers, remote control units, 4 kW amplifiers, 1kW amplifiers, 500W amplifiers, 125W/150W amplifiers, antenna tuning units, and power supplies, where exact quantities depend on the operational requirements of the unit class.  This suite of equipment will be herein referred to as the HF radio system (HFRS). This contract will be for commercial off the shelf (COTS) hardware only.Additionally, the HF radio system must be capable of wideband functionality in accordance with MIL-STD-188-110D and MIL-STD-188-141C and using a compatible Wideband ALE (WALE) protocol. Wideband HF (WBHF) radio refers to the use of channels larger in bandwidth than 3kHz. MIL-STD-188-110D includes waveforms of up to 48kHz, providing data rates of up to 240kbps. The increased data rates provided by wideband HF improves reliability and provides an alternative to satellite communications for the ability to pass data.The system must also be compatible with existing antennas to include both ship and shore antenna infrastructure. Ship infrastructure includes the whip antenna and near vertical incident skywave (NVIS) antenna. Shore antennas are predominantly horizontally arrays and all require a 50? transceiver output. Not all shore antennas are grounded or use ground planes. Finally, the radio system shall support both Type I & Type III encryptions and specifically be compatible with the data and voice processor (DVP-200) manufactured by Rockwell Collins to enable Type III protected communications.Same as APFS F201843913",NEW,USCG/C4IT
F2019046303,"To acquire Contractor technical, engineering and system support for the US Coast Guard OneView (CG1V), and its various sub-systems in the areas of software and integration systemengineering, engineering-level testing, database administration, data services and system administration.",REC,USCG/C4IT
F2019046307,"This acquisition is to procure Adobe Experience Manager software for USCIS's ELIS system. The intended strategy is FirstSource II, Small Business (SB) track.",NEW,USCIS
F2019046349,"A requirement exists for the purchase of Aircraft Spares for the U.S. Coast Guard (USCG), MH-65, Short Range Recovery (SRR) Aircraft.  All the items have an  Acquisition Method Code (AMC) of ""3"", meaning the parts shall be acquire directly from the actual manufacturer and a AMC of ""5"", meaning the parts shall be acquire only from the prime contractor. The cage code for all the parts is ""F0210"", Airbus France. It is anticipated that this will be offered on a Sole Source Basis to the OEM/Prime Contractor, Airbus Helicopters Inc.",REC,USCG/ALC
F2019046351,This requirement will be a ship repair contract for USCGC RELIANCE Fiscal Year 20 Dockside (DS) maintenance availability designed to complete all standard recurring maintenance items. Work will be accomplished at cutter's homeport facility unless otherwise specified within the solicitation. ,NEW,USCG/SFLC
F2019046352,This requirement will be a ship repair contract for USCGC NORTHLAND Fiscal Year 20 Dockside (DS) maintenance availability designed to complete all standard recurring maintenance items. Work will be accomplished at cutter's homeport facility unless otherwise specified within the solicitation. ,NEW,USCG/SFLC
F2019046357,This requirement will be a ship repair contract for USCGC DECISIVE Fiscal Year 20 Dockside (DS) maintenance availability designed to complete all standard recurring maintenance items. Work will be accomplished at cutter's homeport facility unless otherwise specified within the solicitation. ,NEW,USCG/SFLC
F2019046358,This requirement will be a ship repair contract for USCGC ESCANABA Fiscal Year 20 Dockside (DS) maintenance availability designed to complete all standard recurring maintenance items. Work will be accomplished at cutter's homeport facility unless otherwise specified within the solicitation. ,NEW,USCG/SFLC
F2019046377,"Coast Guard Cutter (CGC) HAMILTON Dock Side (DS) Fiscal Quarter 3 (FQ3) Fiscal Year 2020 (FY20): Contractor will be required to perform dock side ship repair including welding, electrical, tank cleaning, ventilation cleaning/repair, steel work, equipment overhaul/repair, insulation renewal, deck preservation, and others in accordance with the Specifications (will be attached with the solicitation). Place of performance is the ship’s homeport located at Charleston, SC. Performance Period is from 26 April 2020 through 12 June 2020.",NEW,USCG/SFLC
F2019046378,"CGC JAMES DS FQ3 FY20Coast Guard Cutter (CGC) JAMES Dock Side (DS) Fiscal Quarter 3 (FQ3) Fiscal Year 2020 (FY20): Contractor will be required to perform dock side ship repair including welding, electrical, tank cleaning, ventilation cleaning/repair, steel work, equipment overhaul/repair, insulation renewal, deck preservation, and others in accordance with the Specifications (will be attached with the solicitation). Place of performance is the ship’s homeport located at Charleston, SC. Performance Period is from 01 JUNE 2020 to 24 JULY 2020.",NEW,USCG/SFLC
F2019046502,"USCIS National Records Center (NRC) has a requirement for a contractor to provide administrative and technical support services related to records management.  These services will be required for the NRC and NRC Extension Site 1 (ES-1), Lee’s Summit, MO, and its sub-office, the File Storage Facility (FSF or HBG), Harrisonburg, VA.  The overall objective of the contract will be to provide comprehensive records management services in a manner that ensures efficient, effective, and accountable records responsibility and excellent customer service.  ",REC,USCIS
F2019046519,"USCIS Office of Information Technology (OIT) Information Technology Field Support Division (ITFSD) has a continuing requirement for IT operations and maintenance (O&M) for an estimated 27,000 users at 230 locations nationwide and 28 overseas. Information Technology Operations (NEON) support will ensure USCIS can effectively meet its mission by providing highly skilled technical staff that can bring to life innovative technology solution. Technical services and task areas include:  Service Desk Support (Service Desk Tier 1, Service Desk Tier 1.5, Incident Management, Knowledge Management, Problem Management, Service Request Management, Specialized Support);  Field Services (Desk side Support (CONUS/OCONUS), Asset Inventory Support, Disposal Preparation Support, Encryption Services, Video Conferencing and Audio/Video (A/V) Operations and Maintenance (O&M), Local On-Site Cabling); OCONUS Site Support (Mobile devices Services, Deployment Services, Server O&M, Training Support); Service Center Services; Account Management Services; and Hardware Incident ResolutionIn addition to the above, there will be Transition and Program Management task areas associated with this requirement.  Anticipating awarding this requirement against GSA Alliant 2 Unrestricted Track. The total estimated cost is approximately $277M.",NEW,USCIS
F2019046547,"This will be a ship repair contract for (Kathleen Moore, FY20, DD, Key West FL) maintenance availability designed to complete all standard recurring maintenance items.""",NEW,USCG/SFLC
F2019046560,"This requirement is for Oracle licenses and maintenance to ensure continuous operation and includes services as applicable. Maintenance and tech support of Oracle Software and Hardware maintenance to include Levels S1-S4 product-specific tech support, Technical assistance with Software and Hardware implementation,Technical assistance with Software and Hardware integration, IT process and organizational transformation, Education services when the product does not function as described or expected, Right of access to security and bug patches, and Right to upgrade to new product versions and revisions.Award against FirstSource II HUBZone track is anticipated. ",NEW,USCIS
F2019046569,"TSA will be buying CT systems that incorporate the following:o	Detection - Enhanced threat detection (APSS 6.2, Level 0) o	Network Connectivity – will only be allowed when the CT devices and accompanying system meet cybersecurity requirements. This means that the CT machines must be upgraded to meet all cybersecurity requirements of Increment 2. o	Mid-size unit - Powered ingress/egress (with auto-diverting) capability o	Full-size unit – (In addition to Mid-size) parallel divestiture, re-composure (with bin return) & high threat containment",NEW,TSA
F2019046571,Immigration and Customs Enforcement (ICE) seeks an International Coaching Federation (ICF) Accredited Coach Training Program (ACTP preferred/ACSTH minimum) to provide a cohort of twelve (12) to twenty-four (24) ICE employees with the appropriate training required to qualify for ICF’s Associate Certified Coach.  The Office of Leadership and Career Development (OLCD) manages the ICE Coaching Program and will be the lead office for the Coach Training Program. ,NEW,ICE/AS
F2019046578,The Coast Guard is looking to contract a five (5) year IDIQ contract for overhaul and repairs of heavy ice breaker controllable pitch propellers (CPP).,REC,USCG/SFLC
F2019046607,"Coast Guard Cutter (CGC) WAESCHE Dockside (DS) Main Propulsion Diesel Engine (MPDE) Fiscal Quarter 3 (FQ3) Fiscal Year 2020 (FY20): Contractor will be required to perform dock side maintenance and service the ship's MPDE(s). The maintenance availability is designed to complete all standard recurring MPDE maintenance items. Work to be performed at ship’s homeport in Alameda, CA. Period of Performance: 15MAY20-10JULY20",NEW,USCG/SFLC
